LIQUIDITY_POOL_ADDRESS,MINT,SIG_INACTIVE,SIG_NO_PRICE,SIG_NO_METADATA,SIG_NO_IMAGE,SIG_MUTABLE,SIG_DRAINED,SIG_SHORT_LIFE,SIG_FEW_TXN,SIG_NO_NAME,RUG_SIGNALS,RUG_SCORE,RUG_LABEL,INACTIVITY_STATUS
HCY4Uq3dRouHzvyFPKGGtJ71PZDxB8WKW7yR5zJreqTe,2FKuYE5D75e9Fjg3ymGBrFfVc8tVKac4SeyvZn5dGNUz,0,1,1,0,1,1,0,0,1,5,0.5555555555555556,LIKELY_RUG,Active
DEfXxr1nZNuFi1GQPCpSACwBc5KoLLeLMPuWDFFR66o9,EPjFWdd5AufqSSqeM2qN1xzybapC8G4wEGGkZwyTDt1v,0,0,0,0,1,1,0,0,0,2,0.2222222222222222,UNCERTAIN,Active
DEfXxr1nZNuFi1GQPCpSACwBc5KoLLeLMPuWDFFR66o9,Dh2WZdzcpoGuYgwbRUqt9feBwNiwkE6yg38zNSuV3Kmv,0,1,1,0,1,1,0,0,1,5,0.5555555555555556,LIKELY_RUG,Active
DkEa1hKCyWaGUzpZGi5iRYNL9CzzhDJdUHP6pHmfmrw5,6VYF5jXq6rfq4QRgGMG6co7b1Ev1Lj7KSbHBxfQ9e1L3,0,1,1,0,1,0,0,0,1,4,0.4444444444444444,SUSPICIOUS,Active
DkEa1hKCyWaGUzpZGi5iRYNL9CzzhDJdUHP6pHmfmrw5,EPjFWdd5AufqSSqeM2qN1xzybapC8G4wEGGkZwyTDt1v,0,0,0,0,1,0,0,0,0,1,0.1111111111111111,LIKELY_LEGIT,Active
6eRECBcCVP82AvAd6Di4rZApa2btLf8RDUqrTigt4hS4,EPjFWdd5AufqSSqeM2qN1xzybapC8G4wEGGkZwyTDt1v,0,0,0,0,1,0,0,0,0,1,0.1111111111111111,LIKELY_LEGIT,Active
6eRECBcCVP82AvAd6Di4rZApa2btLf8RDUqrTigt4hS4,Fm9rHUTF5v3hwMLbStjZXqNBBoZyGriQaFM6sTFz3K8A,0,1,1,0,1,0,0,0,1,4,0.4444444444444444,SUSPICIOUS,Active
6nvTtyQq1m2cNnit79nenxwLm4cy7FfoCsSmDBHf6SS9,7xd71KP4HwQ4sM936xL8JQZCwE4amUko1AdCCf6Znjrt,0,1,1,0,1,1,0,0,1,5,0.5555555555555556,LIKELY_RUG,Active
6nvTtyQq1m2cNnit79nenxwLm4cy7FfoCsSmDBHf6SS9,EPjFWdd5AufqSSqeM2qN1xzybapC8G4wEGGkZwyTDt1v,0,0,0,0,1,1,0,0,0,2,0.2222222222222222,UNCERTAIN,Active
FHZU8zQJBHvJRmduH2kRhgK1WQRsjPYALFUBZ2ezToAq,EPjFWdd5AufqSSqeM2qN1xzybapC8G4wEGGkZwyTDt1v,0,0,0,0,1,0,1,0,0,2,0.2222222222222222,UNCERTAIN,Active
FHZU8zQJBHvJRmduH2kRhgK1WQRsjPYALFUBZ2ezToAq,NA45Qgq1xn2EcrrKik7o9rVPMSgmDXK6kv8134Q8ADW,0,1,1,0,1,0,1,0,1,5,0.5555555555555556,LIKELY_RUG,Active
5NLeMabMyuJQUbvXNfVyUPbtYKwTXBesfmFmDswbgqUz,AFbX8oGjGpmVFywbVouvhQSRmiW2aR1mohfahi4Y2AdB,0,0,1,0,1,0,0,0,1,3,0.3333333333333333,SUSPICIOUS,Active
5NLeMabMyuJQUbvXNfVyUPbtYKwTXBesfmFmDswbgqUz,EPjFWdd5AufqSSqeM2qN1xzybapC8G4wEGGkZwyTDt1v,0,0,0,0,1,0,0,0,0,1,0.1111111111111111,LIKELY_LEGIT,Active
7n45btQhNu5expVQrevYxzNX5V7pikmBJvtJkKCfQxAb,6VYF5jXq6rfq4QRgGMG6co7b1Ev1Lj7KSbHBxfQ9e1L3,0,1,1,0,1,0,0,0,1,4,0.4444444444444444,SUSPICIOUS,Active
46mRnwdtD8G94TR4Le3EgBy41umqgYB1223H2kghG29P,nQRrWF1yWpYzgpndtGRMFYQJxWtauTeUJYWAfULHRSx,1,1,1,1,1,0,1,0,1,7,0.7777777777777778,VERIFIED_RUG,Inactive
46mRnwdtD8G94TR4Le3EgBy41umqgYB1223H2kghG29P,EPjFWdd5AufqSSqeM2qN1xzybapC8G4wEGGkZwyTDt1v,0,0,0,0,1,1,1,0,0,3,0.3333333333333333,SUSPICIOUS,Active
FuupXH2L6FPWzuD8KbMoGzuNVHLgh8mD8svRD8bAhQJ9,EPjFWdd5AufqSSqeM2qN1xzybapC8G4wEGGkZwyTDt1v,0,0,0,0,1,0,0,0,0,1,0.1111111111111111,LIKELY_LEGIT,Active
