MINT,jup_mint_listed,jup_has_price,jup_price_usd,jup_confidence
6o4f6tuvVQTa9PTrHN9pvUeXEPusN6RLgMam1Zc7tYbm,0,0,,
BiryxNvVTABRs3pEE4fvVuu4d17aAYEsNmcPnJ8E8WeT,0,0,,
HjUhUzi6fVkY1BndaSc4Dcg2mCzvnqzXjVJtXsj78ver,0,0,,
Grk6b4UMRWkgyq4Y6S1BnNRF4hRgtnMFp7Sorkv6Ez4u,0,0,,
DogeLZECE9CthXasBLFxgeA2umEyt8CcV7Jsf6P5ZTFo,0,0,,
CVj6FV4HmhEsn7xQXCjj5iqbDQHB7hQ8AwZjB6P8UMDu,0,0,,
9gP2kCy3wA1ctvYWQk75guqXuHfrEomqydHLtcTCqiLa,0,0,,
CobcsUrt3p91FwvULYKorQejgsm5HoQdv5T8RUZ6PnLA,0,0,,
7vfCXTUXx5WJV5JADk17DUJ4ksgau7utNKj4b963voxs,0,0,,
CDJWUqTcYTVAKXAVXoQZFes5JUFc7owSeq7eMQcDSbo5,0,0,,
xnorPhAzWXUczCP3KjU5yDxmKKZi5cSbxytQ1LgE3kG,0,0,,
7dVH61ChzgmN9BwG4PkzwRP8PbYwPJ7ZPNF2vamKT2H8,0,0,,
SRMuApVNdxXokk5GT7XD5cUUgXMBCoAz2LHeuAoKWRt,0,0,,
D4Rn7ZqJJYW2s97PinbRioZDFZpEHjkxE6TPVenTBQVa,0,0,,
9TE7ebz1dsFo1uQ2T4oYAKSm39Y6fWuHrd6Uk6XaiD16,0,0,,
88881Hu2jGMfCs9tMu5Rr7Ah7WBNBuXqde4nR5ZmKYYy,0,0,,
Bzq68gAVedKqQkQbsM28yQ4LYpc2VComDUD9wJBywdTi,0,0,,
CYbXZ7U1AeV8kjtJG3YqKMLaWtdMLa24JojrikZZdXAG,0,0,,
4q5UBXJxE91BZKX548qhU8i5QBWvZdXzS3RZwfTgLQda,0,0,,
HDiA4quoMibAGeJQzvxajp3Z9cvnkNng99oVrnuNj6px,0,0,,
BDxWSxkMLW1nJ3VggamUKkEKrtCaVqzFxoDApM8HdBks,0,0,,
q4bpaRKw3fJB1AJBeeBaKv3TjYzWsmntLgnSB275YUb,0,0,,
B72xRZAVS5RijKkXdxRVn394qeDDVifnnvQyp6mJQC1g,0,0,,
88YqDBWxYhhwPbExF966EdaCYBKP51xVm1oGBcbWzcf2,0,0,,
c8JyuF2fD84G6Vk4AmeVfTUoseNRmv2A9JpymAXi4B6,0,0,,
FbYPNQTXWYpXKmPoQMVGUUQAiCKwyeLR9wSNsiYQ7pBG,0,0,,
HZNpqL7RT9gxf9eWoWsWzC5DfjzQ41XTQgEA7p3VzaaD,0,0,,
4UuGQgkD3rSeoXatXRWwRfRd21G87d5LiCfkVzNNv1Tt,0,0,,
RLBxxFkseAZ4RgJH3Sqn8jXxhmGoz9jWxDNJMh8pL7a,0,0,,
GnzxEyULVPQYb5F5hxGc8dEGivctVrfr5mtsdp4z5xU2,0,0,,
Ctbe3DDHMVLUs4nY3ZCU5YHQB4S2zpF94R74PutaBXUs,0,0,,
41TwwURtuv4k8TuFxp1vfFYP9noMbHXqtscse8xLM26V,0,0,,
8Wmonq7dhFJXuHqFCcVgWTmmUPCBC4C6J5xbB5HhGb6n,0,0,,
GLmaRDRmYd4u3YLfnj9eq1mrwxa1YfSweZYYZXZLTRdK,0,0,,
3LCSAo9Hf64cxtPbArLog3PKkwGkZFN7Ttz1zLdPWPTS,0,0,,
Fj4js23EXVLoUQ26VPfmwVbt76XLn6souUGis71FvNmM,0,0,,
EyrnrbE5ujd3HQG5PZd9MbECN9yaQrqc8pRwGtaLoyC,0,0,,
E77cpQ4VncGmcAXX16LHFFzNBEBb2U7Ar7LBmZNfCgwL,0,0,,
3os2M3bX9qta154PRbU9rzaPUYAKAqVpaMMS8u2hoUQu,0,0,,
939KAUTAyNdmpahj1vQmbS67D7auhyJnkMt4sv2tzBwU,0,0,,
APTtJyaRX5yGTsJU522N4VYWg3vCvSb65eam5GrPT5Rt,0,0,,
8XSsNvaKU9FDhYWAv7Yc7qSNwuJSzVrXBNEk7AFiWF69,0,0,,
3DHPqxdMXogNNnpqBMF8N4Zs4dn1WR31H7UjWq6FExwG,0,0,,
8qJSyQprMC57TWKaYEmetUR3UUiTP2M3hXdcvFhkZdmv,0,0,,
EzL6LLmv4vgfF7irkjG7ZxM92bTJ9f6nFopDXJTow7zj,0,0,,
7JYZmXjHenJxgLUtBxgYsFfoABmWQFA1fW3tHQKUBThV,0,0,,
5G9Z8LJZSFxG4HYdRB6SQqxuTePPw2sSyTJfCX4pggd7,0,0,,
6naWDMGNWwqffJnnXFLBCLaYu1y5U9Rohe5wwJPHvf1p,0,0,,
FCqfQSujuPxy6V42UvafBhsysWtEq1vhjfMN1PUbgaxA,0,0,,
5RpUwQ8wtdPCZHhu6MERp2RGrpobsbZ6MH5dDHkUjs2,0,0,,
EwxNF8g9UfmsJVcZFTpL9Hx5MCkoQFoJi6XNWzKf1j8e,0,0,,
3CaBxqxWsP5oqS84Pkja4wLxyZYsHzMivQbnfwFJQeL1,0,0,,
DqxzPWQ2FKHn8pRoy9jCpA6M3GkEqYfieiAVwMYWVyXr,0,0,,
DVhia9KmzYCP1URf4s8DrPsE46A5PuT5TPyVRgr4c895,0,0,,
